대표지번,진행단계,위도,경도,cate_code
가산동 547-44,조합설립추진위원회승인,37.47532525,126.88639535805152,3
마포동 350,조합설립추진위원회승인,37.53672,126.94288,3
장위동 350,조합설립추진위원회승인,37.6162,127.05086,3
오류동 206-2,조합설립추진위원회승인,36.3253384,127.4050329,3
홍제동 306-2,조합설립추진위원회승인,37.5871,126.94676,3
행당동 248,조합설립추진위원회승인,37.55783,127.03571,3
성내동 288-1,조합설립인가,37.52998,127.12875,4
개봉동 199-4,조합설립인가,37.4931629,126.851736,4
방배동 725,조합설립인가,37.4798789,126.9939103,4
고척동 241-2,조합설립인가,37.5034631,126.8585846,4
번동 457-1,조합설립인가,37.62929,127.03684,4
신사동 261-20,조합설립인가,37.52232055,127.02770186675215,4
신천동 7-,조합설립인가,37.43961375,126.77885557449832,4
용답동 234,조합설립인가,37.5613328,127.05801460358003,4
가락동 192,조합설립인가,35.190215,128.8920173,4
마천동 283-,조합설립인가,37.49803,127.15167,4
대치동 316,조합설립인가,37.5027147,127.0672718,4
문래동4가 23-6,조합설립인가,37.514477,126.8898892,4
신림동 419-1,조합설립인가,37.48682825,126.92826657522512,4
사당동 196,조합설립인가,37.4849354,126.9699231,4
면목동 10-2,조합설립인가,37.5923937,127.07919869705836,4
석관동 332-46,조합설립인가,37.60789015,127.06148520004992,4
이촌동 302-48,조합설립인가,37.52086,126.96612,4
신길동 4759,조합설립인가,37.3335204,126.77378,4
이촌동 402,조합설립인가,37.52086,126.96612,4
이촌동 300-10,조합설립인가,37.52086,126.96612,4
궁동 236-1,조합설립인가,37.5006694,126.8280726,4
여의도동 28,조합설립인가,37.5214552,126.9301999,4
방화동 247-71,조합설립인가,37.57682,126.81422,4
잠원동 61-2,조합설립인가,37.5182544,127.01240284968917,4
홍제동 326-5,조합설립인가,37.5871,126.94676,4
일원동 615,조합설립인가,37.48754,127.08705,4
암사동 495,조합설립인가,37.5582352,127.1308542,4
궁동 171-1,조합설립인가,35.1506767,126.9183969,4
신림동 1448-1,조합설립인가,37.48682825,126.92826657522512,4
상도동 154-30,조합설립인가,37.4988159,126.9441045,4
당산동5가 7-2,조합설립인가,37.53208,126.90102,4
전농동 103-236,조합설립인가,37.5823142,127.0483446,4
길음동 31-1,조합설립인가,37.6085308,127.0201946,4
압구정동 490,조합설립인가,37.5300432,127.0313346,4
잠원동 60-78,조합설립인가,37.5182544,127.01240284968917,4
대림동 700-1,조합설립인가,37.4957573,126.899936,4
도곡동 465,조합설립인가,37.4878395,127.0438569,4
이문동 168-1,조합설립인가,37.60021,127.06124,4
대림동 990-7,조합설립인가,37.4957573,126.899936,4
고척동 241-63,조합설립인가,37.5034631,126.8585846,4
방배동 980-36,조합설립인가,37.4798789,126.9939103,4
공덕동 119,조합설립인가,37.54992705,126.95928971994924,4
영등포동5가 22-3,조합설립인가,37.52095,126.9066,4
동소문동2가  33,조합설립인가,37.58839,127.00785,4
영등포동5가 30,조합설립인가,37.52095,126.9066,4
장위동 233-42,조합설립인가,37.6162,127.05086,4
홍은동 277-45,조합설립인가,37.59296,126.93733,4
하월곡동 40-107,조합설립인가,37.60444,127.03764,4
상도동 356-159,조합설립인가,36.01528,129.35519,4
정릉동 175,조합설립인가,37.61654,126.99794,4
잠원동 73,조합설립인가,37.5156693,127.0177235,4
정릉동 218-1,조합설립인가,37.61654,126.99794,4
방배동 528-3,조합설립인가,37.4798789,126.9939103,4
미아동 791-108,조합설립인가,37.628995,127.02575433718266,4
상계동 109-43,조합설립인가,37.66727,127.07242,4
북가좌동 372-1,조합설립인가,37.57953,126.91156,4
길동 54,조합설립인가,37.53736,127.14703,4
여의도동 30,조합설립인가,37.5217718,126.9266205,4
광장동 332-9,조합설립인가,37.54711,127.10414,4
창동 501-13,조합설립인가,37.64643,127.04326,4
정릉동 670-24,조합설립인가,37.61654,126.99794,4
성북동 300-5,조합설립인가,37.59552,126.99215,4
정릉동 545-12,조합설립인가,37.61654,126.99794,4
성수동1가 656-1267,조합설립인가,37.5435,127.03742,4
장위동 219-114,조합설립인가,37.6162,127.05086,4
안암동3가 54,조합설립인가,37.58371,127.02359,4
여의도동 42,조합설립인가,37.5215591,126.9248627,4
창신동 459-12,조합설립인가,37.57595,127.01313,4
가락동 55,조합설립인가,35.190215,128.8920173,4
고척동 241-11,조합설립인가,37.5034631,126.8585846,4
화곡동 359-124,조합설립인가,37.54208,126.84656,4
방화동 589-13,조합설립인가,37.57682,126.81422,4
시흥동 920-13,조합설립인가,37.41911,127.10186,4
미아동 8-373,조합설립인가,37.628995,127.02575433718266,4
사당동 57-18,조합설립인가,37.4856963,126.9723525,4
홍제동 90-6,조합설립인가,37.5871,126.94676,4
면목동 192,조합설립인가,37.58178,127.09034,4
논현동 191-4,조합설립인가,37.5123018,127.0294935,4
미아동 42-8,조합설립인가,37.628995,127.02575433718266,4
논현동 62-3,조합설립인가,37.4031099,126.7261793,4
한강로3가 65-500,조합설립인가,37.52754,126.96297,4
내발산동 716-20,조합설립인가,37.5539189,126.8377194,4
수색동 366-6,조합설립인가,37.58518725,126.8948584489098,4
방화동 584-1,조합설립인가,37.57682,126.81422,4
