대표지번,진행단계,cate_code,위도,경도
도림동 26-21,정비계획 수립,1,37.508261899999994,126.8993866115764
대림동 855-1,정비계획 수립,1,37.4957573,126.899936
돈암동 624,조합설립인가,4,37.59742,127.01841
정릉동 452-3,조합설립인가,4,37.61654,126.99794
송파동 151-,조합설립인가,4,37.50479,127.11369
번동 458-2,조합설립인가,4,37.62929,127.03684
시흥동 871,조합설립추진위원회승인,3,37.4507049,126.9085555
명일동 56,정비계획 수립,1,37.54841,127.15158
신대방동 360-72,조합설립인가,4,37.4955756,126.9195788
석관동 332-179,조합설립인가,4,,
신당동 236-100,조합설립인가,4,37.565196900000004,127.01321999381744
개봉동 298-33,조합설립인가,4,37.4931629,126.851736
상도동 210-110,조합설립인가,4,37.4988159,126.9441045
사당동 303-,사업시행인가,5,37.4856963,126.9723525
망원동 454-3,조합설립인가,4,37.55586,126.90087
면목동 99-41,조합설립인가,4,37.58178,127.09034
면목동 1271,조합설립인가,4,37.58178,127.09034
중림동 398,조합설립추진위원회승인,3,37.5567609,126.96630371330951
홍제동 266-238,조합설립인가,4,37.5871,126.94676
홍은동 8-400,정비계획 수립,1,37.59296,126.93733
천호동 337-30,조합설립인가,4,37.54294,127.12733
천호동 397-419,조합설립인가,4,37.54294,127.12733
정릉동 385-1,조합설립인가,4,37.61654,126.99794
도곡동 540,착공신고,9,37.4878395,127.0438569
신당동 80,조합해산,13,37.565196900000004,127.01321999381744
도곡동 934-10,조합설립추진위원회승인,3,37.4878395,127.0438569
용두동 14-1,조합설립인가,4,37.57616,127.03476
신문로1가 158,조합설립추진위원회승인,3,37.57017,126.97417
성산동 466,정비구역지정,2,37.56775,126.90263
대조동 92-5,조합설립인가,4,37.612610000000004,126.92278351858204
면목동 139-52,조합설립인가,4,37.58178,127.09034
사당동 206-1,조합설립인가,4,37.4856963,126.9723525
연희동 721-6,조합설립추진위원회승인,3,37.57234,126.93084
가산동 999-986,조합설립추진위원회승인,3,37.47532525,126.88639535805152
독산동 954,조합설립인가,4,37.468399,126.8979571
합정동 376-3,정비계획 수립,1,37.5477846,126.90956355330226
