진행단계,정비구역명칭,정비구역면적(㎡),사업구분,재건축단계,서울시_정비구역위치,Latitude,Longitude,cate_code
조합설립인가,정비창전면 제1구역 도시환경정비사업,71901.0,재개발(도시정비형),조합 설립 전,서울시 용산구 한강로3가 40-641,37.5254331,126.9629264,4
조합설립인가,신반포7차아파트주택재건축정비사업,35010.4,재건축,조합 설립 전,서울시 서초구 잠원동 65-32 및 34,37.5124489,127.0078967,4
조합설립인가,홍은동 326-2일원 가로주택정비사업,6543.2,가로주택정비,조합 설립 전,서울시 서대문구 홍은동 326-2,37.5855968,126.926033,4
조합설립인가,동신아파트 소규모재건축정비사업,6152.0,소규모재건축,조합 설립 전,서울시 성북구 하월곡동 70-4,37.6058973,127.0362059,4
조합설립인가,중화역2의2구역 가로주택정비사업,9902.1,가로주택정비,조합 설립 전,서울시 중랑구 중화동 329-58번지,37.599774,127.0752999,4
조합설립인가,중화역2의5구역 가로주택정비사업,8267.2,가로주택정비,조합 설립 전,서울시 중랑구 중화동 317-45번지,37.5980965,127.0748544,4
조합설립인가,궁동 한양빌라 가로주택정비사업,3122.36,가로주택정비,조합 설립 전,서울시 구로구 궁동 240-0,37.4970125,126.8237704,4
조합설립인가,송정역지역주택조합,11484.0,지역주택,조합 설립 전,서울시 강서구 공항동 61-42,37.5570473,126.8097963,4
조합설립인가,방화지역주택조합추진위원회,63433.31,지역주택,조합 설립 전,서울시 강서구 공항동 21-0,37.5628533,126.8129088,4
조합설립인가,정비창전면 제3구역 도시정비형 재개발사업,5805.0,재개발(도시정비형),조합 설립 전,서울시 용산구 한강로3가 40-19,37.5237911,126.9621963,4
조합설립인가,은마아파트 재건축정비사업 조합,243552.6,재건축,조합 설립 전,서울시 강남구 대치동 316번지,37.4974176,127.0653272,4
조합설립추진위원회승인,홍제3구역도시환경정비사업 조합설립추진위원회,6506.0,재개발(도시정비형),조합 설립 전,서울시 서대문구 홍제동 306-2번지,37.5880382,126.9438154,3
조합설립인가,암사동 495번지 일대 가로주택정비사업,9585.98,가로주택정비,조합 설립 전,서울시 강동구 암사동 495-0,37.5499823,127.1300579,4
조합설립인가,(가칭)동작상도역지역주택조합 추진위원회,29786.8,지역주택,조합 설립 전,서울시 동작구 상도동 154-30번지,37.5036643,126.9459106,4
조합설립인가,가락극동아파트 재건축사업,40111.5,재건축,조합 설립 전,서울시 송파구 가락동 192-0,37.495697,127.1326768,4
조합설립인가,여의도동 28번지 광장아파트 주택재건축정비사업,43042.0,재건축,조합 설립 전,서울시 영등포구 여의도동 28-0,37.5207571,126.9208125,4
조합설립인가,월드빌라소규모재건축정비사업,7808.0,소규모재건축,조합 설립 전,서울시 구로구 궁동 236-1번지 외 9필지,37.4965789,126.8254079,4
